"state","year","cigsale","retprice","state_id"
"California",1970,123,38.8,0
"California",1971,121,39.7,0
"California",1972,123.5,39.9,0
"California",1973,124.4,39.9,0
"California",1974,126.7,41.9,0
"California",1975,127.1,45,0
"California",1976,128,48.3,0
"California",1977,126.4,49,0
"California",1978,126.1,58.7,0
"California",1979,121.9,60.1,0
"California",1980,120.2,62.1,0
"California",1981,118.6,66.4,0
"California",1982,115.4,72.8,0
"California",1983,110.8,84.9,0
"California",1984,104.8,94.9,0
"California",1985,102.8,98,0
"California",1986,99.7,104.4,0
"California",1987,97.5,103.9,0
"California",1988,90.1,117.4,0
"California",1989,82.4,126.4,0
"California",1990,77.8,163.8,0
"California",1991,68.7,186.8,0
"California",1992,67.5,201.9,0
"California",1993,63.4,205.1,0
"California",1994,58.6,190.3,0
"California",1995,56.4,195.1,0
"California",1996,54.5,197.9,0
"California",1997,53.8,200.3,0
"California",1998,52.3,207.8,0
"California",1999,47.2,224.9,0
"California",2000,41.6,351.2,0
"Alabama",1970,89.8,39.6,1
"Alabama",1971,95.4,42.7,1
"Alabama",1972,101.1,42.3,1
"Alabama",1973,102.9,42.1,1
"Alabama",1974,108.2,43.1,1
"Alabama",1975,111.7,46.6,1
"Alabama",1976,116.2,50.4,1
"Alabama",1977,117.1,50.1,1
"Alabama",1978,123,55.1,1
"Alabama",1979,121.4,56.8,1
"Alabama",1980,123.2,60.6,1
"Alabama",1981,119.6,68.8,1
"Alabama",1982,119.1,73.1,1
"Alabama",1983,116.3,84.4,1
"Alabama",1984,113,90.8,1
"Alabama",1985,114.5,99,1
"Alabama",1986,116.3,103,1
"Alabama",1987,114,110,1
"Alabama",1988,112.1,114.4,1
"Alabama",1989,105.6,122.3,1
"Alabama",1990,108.6,139.1,1
"Alabama",1991,107.9,144.4,1
"Alabama",1992,109.1,172.2,1
"Alabama",1993,108.5,176.2,1
"Alabama",1994,107.1,154.6,1
"Alabama",1995,102.6,155.1,1
"Alabama",1996,101.4,158.3,1
"Alabama",1997,104.9,167.4,1
"Alabama",1998,106.2,180.5,1
"Alabama",1999,100.7,195.6,1
"Alabama",2000,96.2,270.7,1
"Arkansas",1970,100.3,36.7,2
"Arkansas",1971,104.1,38.8,2
"Arkansas",1972,103.9,44.1,2
"Arkansas",1973,108,45.1,2
"Arkansas",1974,109.7,45.5,2
"Arkansas",1975,114.8,48.6,2
"Arkansas",1976,119.1,50.9,2
"Arkansas",1977,122.6,52.6,2
"Arkansas",1978,127.3,56.5,2
"Arkansas",1979,126.5,58.4,2
"Arkansas",1980,131.8,61.5,2
"Arkansas",1981,128.7,64.7,2
"Arkansas",1982,127.4,72.1,2
"Arkansas",1983,128,82,2
"Arkansas",1984,123.1,93.6,2
"Arkansas",1985,125.8,98.5,2
"Arkansas",1986,126,103.6,2
"Arkansas",1987,122.3,113,2
"Arkansas",1988,121.5,119.9,2
"Arkansas",1989,118.3,127.7,2
"Arkansas",1990,113.1,141.2,2
"Arkansas",1991,116.8,146.5,2
"Arkansas",1992,126,177.3,2
"Arkansas",1993,113.8,179.9,2
"Arkansas",1994,108.8,168.1,2
"Arkansas",1995,113,167.3,2
"Arkansas",1996,110.7,167.1,2
"Arkansas",1997,108.7,181.3,2
"Arkansas",1998,109.5,187.3,2
"Arkansas",1999,104.8,206.9,2
"Arkansas",2000,99.4,279.3,2
"Colorado",1970,124.8,29.4,3
"Colorado",1971,125.5,31.1,3
"Colorado",1972,134.3,31.2,3
"Colorado",1973,137.9,32.7,3
"Colorado",1974,132.8,38.1,3
"Colorado",1975,131,41.7,3
"Colorado",1976,134.2,44.8,3
"Colorado",1977,132,44.7,3
"Colorado",1978,129.2,57.4,3
"Colorado",1979,131.5,52.8,3
"Colorado",1980,131,54.6,3
"Colorado",1981,133.8,58.1,3
"Colorado",1982,130.5,61.4,3
"Colorado",1983,125.3,73.3,3
"Colorado",1984,119.7,83.4,3
"Colorado",1985,112.4,93.1,3
"Colorado",1986,109.9,95.1,3
"Colorado",1987,102.4,108.6,3
"Colorado",1988,94.6,116,3
"Colorado",1989,88.8,130.8,3
"Colorado",1990,87.4,149.3,3
"Colorado",1991,90.2,152.6,3
"Colorado",1992,88.3,157.5,3
"Colorado",1993,88.6,168.2,3
"Colorado",1994,89.1,153.2,3
