"parameter","mean","sd","q025","q50","q975","ess","rhat_split"
"rho",0.539325766881728,0.0362158872548187,0.479599197773746,0.53644894664989,0.610306746656917,8.16562679729035,1.00392618170776
"alpha[Cameroon]",0.268870560759869,0.342149844851158,-0.0865539613719917,0.113111159812183,1.06869798386557,109.070689539258,1.00171981672083
"alpha[Burundi]",0.258258974718694,0.770967658740496,-1.08875178839935,0.0817310161799474,2.26025412760445,212.364677002131,1.00420002066268
"alpha[Benin]",0.199793347839954,0.336750966992271,-0.189574804288306,0.0725812774840382,1.09061405530899,217.199564091144,1.00011307789267
"alpha[Congo, Dem. Rep.]",-0.161476690660426,0.394991640098182,-1.2606109502909,-0.0283311916932796,0.361115869799249,159.180367601476,1.01093721988846
"alpha[Niger]",0.131090992751737,0.39355647867924,-0.472175197124461,0.0362794062264014,1.1454788141487,333.287398567116,0.999861350913814
"alpha[Central African Republic]",-0.114235752648691,0.242026637721383,-0.760503206219894,-0.0362727701144082,0.201780231513511,349.805077750134,0.999840039951641
"sigma2",46492.2498540513,3691.68943161617,39668.5159191513,46351.2196063685,54140.2870000829,512.115426618611,1.0002137188885
"beta[beta1]",-0.000527334025264559,0.00100886394286048,-0.00252338311593394,-0.000521232464125263,0.00142756966913979,553.710441281807,0.999846015320737
"beta[beta2]",0.00148001626463237,0.00136711730879846,-0.00116800865131821,0.00147207600710629,0.00415439916113591,598.538276799587,0.999833488899139
"beta[beta3]",-0.00154673798326972,0.000854393591891835,-0.0031720148525186,-0.00153391864424342,0.00010520502357561,465.942915866877,0.999870598820427
"beta[beta4]",0.00183560299931494,0.00125308323282966,-0.000666629035082174,0.00183601806280478,0.00427829203637303,408.525495141587,0.999976554585259
"beta[beta5]",-0.00190154052279103,0.0016646058151206,-0.00521726019117971,-0.00187799446504366,0.00136978192217918,407.258891149009,0.99992969690517
"beta[beta6]",0.000763254214226657,0.0013100269043072,-0.00177089765467293,0.000778079128327075,0.00336046175953973,455.428505876385,0.999839654823547
