"N","T0","T1","rho","method","bias_point","rmse_point","cover95_point"
64,20,50,-0.8,"SCM",-0.116144871522386,0.596474297028338,NA
64,20,50,-0.8,"BSCM",-0.178999951724258,0.256489104584044,0.24212
64,20,50,-0.8,"SCSPILL",-0.00056151658447975,0.0399869174612796,0.95498
64,20,50,-0.3,"SCM",-0.0564936486297232,0.424680117612173,NA
64,20,50,-0.3,"BSCM",-0.0727386529611375,0.111049638857104,0.56646
64,20,50,-0.3,"SCSPILL",3.30286298303166e-05,0.0398232953286705,0.97186
64,20,50,-0.1,"SCM",-0.0230364203145174,0.383017516834252,NA
64,20,50,-0.1,"BSCM",-0.0266148277961796,0.0538804148686426,0.91534
64,20,50,-0.1,"SCSPILL",-0.00049563457802673,0.0398049390326041,0.97958
64,20,50,0,"SCM",-0.00017230696656188,0.364136801294125,NA
64,20,50,0,"BSCM",9.83843574034395e-05,0.0396319628342967,0.98084
64,20,50,0,"SCSPILL",-5.91589056770173e-05,0.0419546930031041,0.98058
64,20,50,0.1,"SCM",0.0263952856413185,0.347038670176338,NA
64,20,50,0.1,"BSCM",0.0292676882930775,0.0585811024078354,0.9105
64,20,50,0.1,"SCSPILL",-0.00022806055380869,0.0458635650312884,0.9802
64,20,50,0.3,"SCM",0.084842135952598,0.344981427867117,NA
64,20,50,0.3,"BSCM",0.0991444922933866,0.145741387369994,0.51058
64,20,50,0.3,"SCSPILL",-0.00097172999261243,0.0500676532627633,0.98322
64,20,50,0.8,"SCM",0.463012099586335,0.812651493602166,NA
64,20,50,0.8,"BSCM",0.512978676242733,0.725998257048401,0.1263
64,20,50,0.8,"SCSPILL",-0.0010609163741004,0.122815257014259,0.9886
