"parameter","mean","sd","q025","q50","q975","ess","rhat_split"
"rho",0.427351814956358,0.0641976189699465,0.2940915327064,0.429478691662568,0.549826491571413,387.763198333726,1.00034028732215
"alpha[Burundi]",0.308350454726716,0.836011788101635,-1.08366723222373,0.0896991086204956,2.42257100321219,41314.1004928397,1.00003543255688
"alpha[Cameroon]",0.264602308543967,0.337970930878937,-0.104568453730583,0.118274334094105,1.0549894278924,18294.9308203346,1.00014598841319
"alpha[Benin]",0.191304620059876,0.334310037696,-0.224588432897913,0.0678034724171402,1.08140560354443,39594.9779944118,0.999999176894675
"alpha[Congo, Dem. Rep.]",-0.166772207796053,0.411350196575299,-1.29067653259429,-0.032566236888395,0.399734476778936,37242.354825867,1.00000037692575
"alpha[Central African Republic]",-0.121633554789222,0.256686898169035,-0.81847098133206,-0.0368583892429978,0.212703025199753,53376.2961339108,1.00007788846465
"alpha[Niger]",0.118367656349814,0.41911063306457,-0.578394786880194,0.0284067401254434,1.18218087626151,84888.2933840343,1.00000169062297
"sigma2",46351.6902020317,3717.60936174622,39616.2463587705,46153.3551496797,54205.1947698954,174641.358220336,1.00000162256321
"beta[beta1]",-0.000565017032845596,0.000999179805308214,-0.00252960958605018,-0.000565166724420853,0.00139335269840539,160118.063021086,1.00000071557601
"beta[beta2]",0.00144291463117303,0.00136363122796568,-0.00122724439552326,0.00144125650411516,0.00411694924783426,211738.044950118,0.999998035232133
"beta[beta3]",-0.0013959254274882,0.000855935461967386,-0.00307879391767741,-0.00139499804596815,0.000280703106412852,42583.5868090889,0.999999276600643
"beta[beta4]",0.00150596775026867,0.00123971293964351,-0.000922214711608213,0.00150560270539645,0.00393486369116872,16820.7741261803,1.0000246674327
"beta[beta5]",-0.00151597223495167,0.00169419776526511,-0.00482793990413862,-0.00151793512944134,0.00181356385382309,24412.7900960132,1.00002041894056
"beta[beta6]",0.000531191062474069,0.00133851113464675,-0.0020927515081768,0.000531042184939505,0.00315562940639543,39437.0112160569,1.00000151925229
